label,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,37874473671.33858,23478161504.166958,20854805186.796623,19124353315.773033,20468754710.357536,15072732079.577444,14459530141.7889,11781770007.71905,13534369690.859142,31268837842.391304
1,42480547357.07865,19855861998.011875,17513044195.46662,15994233457.406189,17688290791.834484,12937847081.750305,12131026914.003838,9706397300.399637,11763396778.886118,28975699826.92236
1,58587856176.65163,28560563194.991264,22776247691.389668,21085197121.120796,22352488158.8141,16132697762.129395,16123559426.264671,12511347048.52005,14630926115.82669,31999344719.5939
1,43410260702.19835,30619838034.784786,24815957112.194305,22662186377.575733,24726630542.645576,18719170580.7285,17839162530.013584,14254118178.166292,16410179830.263592,33354836657.37201
1,56263480936.11037,26643257472.176857,22906102479.6539,20743032046.206406,22030077822.80906,16818843293.353752,15913595342.121857,12958834587.801765,14682414836.421854,31843960408.250957
1,26801476327.162018,15771281050.83179,14005477435.65823,12708517333.450216,14493767756.941437,10555642443.104744,9553366182.068075,7815263663.743162,10166859441.621765,26087295389.32612
1,40827055901.075035,27131031870.42299,22365857900.918034,20357140335.2897,22237381319.29232,16408903202.872925,15679526007.122063,12565142909.962982,14541492111.336292,31997425349.88602
1,25384170743.512867,19039010342.589607,17219248309.071335,15056236664.07955,17480817766.959946,12970700302.84191,12068932926.068996,9568635723.100075,12082879458.290562,28750144999.135418
1,55221720225.63171,34329163991.629303,30885096059.28878,25696720381.057568,27286536227.47206,21753965796.269146,19737496201.1597,16405800348.298471,18299816905.00032,34323095815.999447
1,38052493417.0169,25916945942.68183,21171074896.885582,18174960424.77345,19736498858.155643,14997131401.307613,13882874669.823914,11407973993.142756,14036711793.75441,29301348358.114647
1,67114482624.92507,39881024391.87891,35917353973.71243,30602055293.287796,30669974520.369114,25275550485.894188,22843475699.09922,18516500676.696507,20988651669.53687,37103692431.127464
1,44883784523.775314,25856791235.774834,21903092783.74265,20384644028.762074,21521901390.411705,15887261421.140007,14785068493.930529,11911289452.55817,14571171703.914661,29854700566.507233
1,31992485827.315365,14849200615.338806,12582189581.33994,11394963791.310396,13225726667.138687,9136908697.82405,8603494426.264175,7158977792.323463,10477542558.53484,24366503740.14749
1,21687654360.601753,11335667582.16918,9575274551.482002,8541897406.096366,10837982349.3358,7413835721.089858,6707420230.161523,5869422275.860551,11638652798.041185,20077141894.757244
1,29465621098.407074,11010614329.835709,9236874252.700762,8280471215.3976345,10455942116.952272,6768903879.8135195,6429541492.770523,5475682760.368189,8417363292.547758,22068182515.712036
1,28416730758.00456,11899880309.989132,9211410789.567356,8469486222.091945,10466101502.57325,6663284615.973135,6146586150.80806,5253831866.783639,11087102789.500961,19113486933.603313
